Name: Bedford Road, Instruction: Head north on Bedford Road, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 391.0 meters, Time: 281.5 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: MacPherson Avenue, Instruction: Turn left onto MacPherson Avenue, Distance: 11.9 meters, Time: 8.6 seconds
Name: Poplar Plains Road, Instruction: Turn right onto Poplar Plains Road, Distance: 23.4 meters, Time: 16.8 seconds
Name: Boulton Drive, Instruction: Keep left onto Boulton Drive, Distance: 131.4 meters, Time: 94.6 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 255.5 meters, Time: 184.0 seconds
Name: -, Instruction: Turn left, Distance: 439.6 meters, Time: 316.5 seconds
Name: -, Instruction: Keep right, Distance: 48.7 meters, Time: 35.1 seconds
Name: -, Instruction: Continue straight, Distance: 92.7 meters, Time: 66.7 seconds
Name: -, Instruction: Turn left, Distance: 47.3 meters, Time: 34.1 seconds
Name: -, Instruction: Turn right, Distance: 29.4 meters, Time: 21.2 seconds
Name: -, Instruction: Turn right, Distance: 188.6 meters, Time: 135.8 seconds
Name: -, Instruction: Turn left, Distance: 115.7 meters, Time: 83.3 seconds
Name: -, Instruction: Keep right, Distance: 93.5 meters, Time: 67.3 seconds
Name: -, Instruction: Turn right, Distance: 202.8 meters, Time: 146.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
