Name: Tennant Road, M152, Instruction: Head northwest on Tennant Road, M152, Distance: 186.6 meters, Time: 134.4 seconds
Name: Herschel Walk, Instruction: Turn left onto Herschel Walk, Distance: 123.0 meters, Time: 88.5 seconds
Name: Monmouth Avenue, Instruction: Turn right onto Monmouth Avenue, Distance: 159.3 meters, Time: 114.7 seconds
Name: Monmouth Avenue, Instruction: Continue straight onto Monmouth Avenue, Distance: 27.4 meters, Time: 19.7 seconds
Name: Monmouth Avenue, Instruction: Continue straight onto Monmouth Avenue, Distance: 331.3 meters, Time: 238.5 seconds
Name: Monmouth Avenue, Instruction: Continue straight onto Monmouth Avenue, Distance: 344.6 meters, Time: 248.1 seconds
Name: -, Instruction: Turn right, Distance: 346.4 meters, Time: 249.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 32.7 meters, Time: 23.6 seconds
Name: -, Instruction: Turn right, Distance: 23.8 meters, Time: 17.1 seconds
Name: -, Instruction: Turn left, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 35.4 meters, Time: 25.5 seconds
Name: Bertha Avenue, Instruction: Turn slight left onto Bertha Avenue, Distance: 108.2 meters, Time: 77.9 seconds
Name: Balfour Avenue, Instruction: Turn right onto Balfour Avenue, Distance: 189.9 meters, Time: 136.7 seconds
Name: -, Instruction: Turn left, Distance: 70.1 meters, Time: 50.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
