Name: Allison Drive, Instruction: Head northeast on Allison Drive, Distance: 25.9 meters, Time: 18.7 seconds
Name: Giles Close, Instruction: Turn left onto Giles Close, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 314.0 meters, Time: 226.1 seconds
Name: -, Instruction: Turn left, Distance: 60.6 meters, Time: 43.6 seconds
Name: -, Instruction: Turn right, Distance: 132.1 meters, Time: 95.1 seconds
Name: -, Instruction: Keep left, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn slight left, Distance: 44.1 meters, Time: 31.7 seconds
Name: -, Instruction: Turn right, Distance: 176.1 meters, Time: 126.8 seconds
Name: -, Instruction: Keep right, Distance: 10.5 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 136.3 meters, Time: 98.1 seconds
Name: -, Instruction: Keep left, Distance: 30.8 meters, Time: 22.2 seconds
Name: Floribunda Avenue, Instruction: Turn left onto Floribunda Avenue, Distance: 6.5 meters, Time: 4.7 seconds
Name: Floribunda Avenue, Instruction: Turn sharp right onto Floribunda Avenue, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
