Name: Ryehill Close, Instruction: Head northwest on Ryehill Close, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 74.4 meters, Time: 53.5 seconds
Name: -, Instruction: Turn right, Distance: 174.9 meters, Time: 125.9 seconds
Name: -, Instruction: Turn left, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn right, Distance: 571.0 meters, Time: 411.1 seconds
Name: -, Instruction: Turn right, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn left, Distance: 111.1 meters, Time: 80.0 seconds
Name: Margan Avenue Shared Path, Instruction: Turn right onto Margan Avenue Shared Path, Distance: 91.5 meters, Time: 65.9 seconds
Name: Margan Avenue Shared Path, Instruction: Turn left onto Margan Avenue Shared Path, Distance: 17.8 meters, Time: 12.8 seconds
Name: Rankin Avenue Shared Path, Instruction: Turn right onto Rankin Avenue Shared Path, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 68.2 meters, Time: 49.1 seconds
Name: -, Instruction: Turn left, Distance: 541.6 meters, Time: 389.9 seconds
Name: -, Instruction: Keep left, Distance: 66.6 meters, Time: 47.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 26.2 meters, Time: 18.9 seconds
Name: -, Instruction: Turn right, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Turn slight right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn slight left, Distance: 134.7 meters, Time: 97.0 seconds
Name: -, Instruction: Keep right, Distance: 119.4 meters, Time: 86.0 seconds
Name: -, Instruction: Turn left, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 29.0 meters, Time: 20.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 53.6 meters, Time: 38.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
