Name: Wainoni Heights, Instruction: Head northwest on Wainoni Heights, Distance: 131.2 meters, Time: 94.5 seconds
Name: -, Instruction: Turn right, Distance: 241.1 meters, Time: 173.6 seconds
Name: -, Instruction: Turn left, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 149.4 meters, Time: 107.6 seconds
Name: -, Instruction: Keep left, Distance: 74.4 meters, Time: 53.6 seconds
Name: -, Instruction: Turn left, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 272.8 meters, Time: 196.4 seconds
Name: -, Instruction: Turn right, Distance: 201.8 meters, Time: 145.3 seconds
Name: -, Instruction: Turn right, Distance: 13.8 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 37.8 meters, Time: 27.2 seconds
Name: -, Instruction: Turn left, Distance: 151.4 meters, Time: 109.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
