Name: Leopold Street, Instruction: Head east on Leopold Street, Distance: 7.1 meters, Time: 5.1 seconds
Name: Jameson Avenue, Instruction: Turn left onto Jameson Avenue, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 38.5 meters, Time: 27.7 seconds
Name: -, Instruction: Turn right, Distance: 87.4 meters, Time: 62.9 seconds
Name: -, Instruction: Keep left, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Turn left, Distance: 134.5 meters, Time: 96.8 seconds
Name: -, Instruction: Turn slight right, Distance: 110.1 meters, Time: 79.3 seconds
Name: -, Instruction: Keep left, Distance: 11.2 meters, Time: 8.0 seconds
Name: -, Instruction: Turn slight left, Distance: 104.2 meters, Time: 75.0 seconds
Name: -, Instruction: Keep left, Distance: 66.5 meters, Time: 47.9 seconds
Name: -, Instruction: Turn left, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 307.3 meters, Time: 221.3 seconds
Name: -, Instruction: Turn left, Distance: 193.9 meters, Time: 139.6 seconds
Name: -, Instruction: Turn left, Distance: 37.9 meters, Time: 27.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
