Name: Spruce Street, Instruction: Head east on Spruce Street, Distance: 268.6 meters, Time: 193.4 seconds
Name: Nasmith Avenue, Instruction: Turn right onto Nasmith Avenue, Distance: 102.1 meters, Time: 73.5 seconds
Name: Smith Gemmell Lane, Instruction: Turn left onto Smith Gemmell Lane, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 34.5 meters, Time: 24.9 seconds
Name: -, Instruction: Turn left, Distance: 69.1 meters, Time: 49.8 seconds
Name: -, Instruction: Turn right, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 44.5 meters, Time: 32.1 seconds
Name: -, Instruction: Keep right, Distance: 67.0 meters, Time: 48.2 seconds
Name: -, Instruction: Keep right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 27.7 meters, Time: 19.9 seconds
Name: -, Instruction: Turn slight right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 50.4 meters, Time: 36.3 seconds
Name: -, Instruction: Turn right, Distance: 86.3 meters, Time: 62.1 seconds
Name: Oak Street, Instruction: Turn left onto Oak Street, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 63.1 meters, Time: 45.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
