Name: Avenida Ernani Cardoso, Instruction: Head east on Avenida Ernani Cardoso, Distance: 26.3 meters, Time: 19.0 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 366.2 meters, Time: 263.6 seconds
Name: -, Instruction: Turn right, Distance: 226.3 meters, Time: 162.9 seconds
Name: Rua Curimatá, Instruction: Turn slight left onto Rua Curimatá, Distance: 229.9 meters, Time: 165.5 seconds
Name: Rua Padre Manso, Instruction: Turn right onto Rua Padre Manso, Distance: 103.3 meters, Time: 74.4 seconds
Name: Praça Armando Cruz, Instruction: Keep right onto Praça Armando Cruz, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 78.0 meters, Time: 56.2 seconds
Name: Rua Padre Manso, Instruction: Turn left onto Rua Padre Manso, Distance: 93.7 meters, Time: 67.4 seconds
Name: Rua Manuel Martins, Instruction: Turn left onto Rua Manuel Martins, Distance: 117.7 meters, Time: 84.7 seconds
Name: Rua São Geraldo, Instruction: Turn right onto Rua São Geraldo, Distance: 146.6 meters, Time: 105.5 seconds
Name: Rua João Vicente, Instruction: Turn left onto Rua João Vicente, Distance: 102.9 meters, Time: 74.1 seconds
Name: -, Instruction: Turn right, Distance: 36.7 meters, Time: 26.4 seconds
Name: -, Instruction: Turn right, Distance: 31.7 meters, Time: 22.8 seconds
Name: -, Instruction: Turn left, Distance: 22.3 meters, Time: 16.1 seconds
Name: Rua Carolina Machado, Instruction: Turn left onto Rua Carolina Machado, Distance: 78.6 meters, Time: 56.6 seconds
Name: -, Instruction: Turn right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
