Name: Bethwin Road, Instruction: Head west on Bethwin Road, Distance: 181.1 meters, Time: 130.4 seconds
Name: -, Instruction: Turn left, Distance: 76.2 meters, Time: 54.9 seconds
Name: Sultan Street, Instruction: Turn right onto Sultan Street, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Turn left, Distance: 29.2 meters, Time: 21.0 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 41.5 meters, Time: 29.8 seconds
Name: -, Instruction: Turn left, Distance: 100.9 meters, Time: 72.7 seconds
Name: Wyndham Road, Instruction: Turn right onto Wyndham Road, Distance: 247.9 meters, Time: 178.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 109.3 meters, Time: 78.7 seconds
Name: -, Instruction: Turn left, Distance: 1.9 meters, Time: 1.3 seconds
Name: -, Instruction: Keep right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn slight left, Distance: 110.4 meters, Time: 79.5 seconds
Name: -, Instruction: Turn left, Distance: 410.0 meters, Time: 295.2 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: Akerman Road, Instruction: Turn left onto Akerman Road, Distance: 6.3 meters, Time: 4.6 seconds
Name: Mostyn Road, Instruction: Turn right onto Mostyn Road, Distance: 222.3 meters, Time: 160.1 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 108.7 meters, Time: 78.2 seconds
Name: -, Instruction: Turn slight right, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 43.4 meters, Time: 31.3 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 53.4 meters, Time: 38.5 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.3 seconds
Name: Brixton Road, A23, Instruction: Turn left onto Brixton Road, A23, Distance: 6.0 meters, Time: 4.3 seconds
Name: Ingleton Street, Instruction: Turn right onto Ingleton Street, Distance: 162.2 meters, Time: 116.8 seconds
Name: -, Instruction: Arrive at Ingleton Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
