Name: Vandalenstraße, Instruction: Head east on Vandalenstraße, Distance: 88.3 meters, Time: 63.5 seconds
Name: Teutonenstraße, Instruction: Turn right onto Teutonenstraße, Distance: 58.5 meters, Time: 42.2 seconds
Name: -, Instruction: Turn slight left, Distance: 74.1 meters, Time: 53.4 seconds
Name: Englschalkinger Straße, Instruction: Turn left onto Englschalkinger Straße, Distance: 505.7 meters, Time: 364.1 seconds
Name: -, Instruction: Turn right, Distance: 30.5 meters, Time: 21.9 seconds
Name: -, Instruction: Turn right, Distance: 10.4 meters, Time: 7.5 seconds
Name: Englschalkinger Straße, Instruction: Turn left onto Englschalkinger Straße, Distance: 982.5 meters, Time: 707.4 seconds
Name: Freischützstraße, Instruction: Turn slight left onto Freischützstraße, Distance: 442.0 meters, Time: 318.2 seconds
Name: -, Instruction: Turn left, Distance: 98.2 meters, Time: 70.7 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
