Name: Defu South Street 1, Instruction: Head south on Defu South Street 1, Distance: 669.0 meters, Time: 481.7 seconds
Name: -, Instruction: Turn right, Distance: 139.5 meters, Time: 100.4 seconds
Name: Bartley Road East, Instruction: Turn slight right onto Bartley Road East, Distance: 430.6 meters, Time: 310.1 seconds
Name: -, Instruction: Keep right, Distance: 31.3 meters, Time: 22.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 7.0 meters, Time: 5.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 258.1 meters, Time: 185.9 seconds
Name: -, Instruction: Keep left, Distance: 35.2 meters, Time: 25.3 seconds
Name: -, Instruction: Turn left, Distance: 524.9 meters, Time: 377.9 seconds
Name: Cycling Path Network, Instruction: Turn left onto Cycling Path Network, Distance: 60.9 meters, Time: 43.8 seconds
Name: -, Instruction: Turn left, Distance: 148.4 meters, Time: 106.8 seconds
Name: -, Instruction: Continue straight, Distance: 98.3 meters, Time: 70.7 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
