Name: Richelstraße, Instruction: Head west on Richelstraße, Distance: 349.0 meters, Time: 251.3 seconds
Name: Josef-Obenhin-Straße, Instruction: Turn left onto Josef-Obenhin-Straße, Distance: 63.9 meters, Time: 46.0 seconds
Name: -, Instruction: Continue straight, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 56.7 meters, Time: 40.8 seconds
Name: -, Instruction: Turn right, Distance: 61.7 meters, Time: 44.4 seconds
Name: -, Instruction: Turn slight right, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Keep left, Distance: 200.6 meters, Time: 144.4 seconds
Name: -, Instruction: Turn right, Distance: 30.8 meters, Time: 22.2 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 332.1 meters, Time: 239.1 seconds
Name: -, Instruction: Turn right, Distance: 35.3 meters, Time: 25.4 seconds
Name: -, Instruction: Turn left, Distance: 197.8 meters, Time: 142.4 seconds
Name: -, Instruction: Turn right, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
