Name: Avenida Municipio Libre, EJE 7 SUR, Instruction: Head west on Avenida Municipio Libre, EJE 7 SUR, Distance: 87.3 meters, Time: 62.8 seconds
Name: Calle 5 de Mayo, Instruction: Turn sharp right onto Calle 5 de Mayo, Distance: 139.9 meters, Time: 100.7 seconds
Name: Calle San Lorenzo, Instruction: Turn left onto Calle San Lorenzo, Distance: 285.6 meters, Time: 205.6 seconds
Name: Calle Heriberto Frías, Instruction: Turn right onto Calle Heriberto Frías, Distance: 266.2 meters, Time: 191.7 seconds
Name: Calle Miguel Laurent, Instruction: Turn left onto Calle Miguel Laurent, Distance: 1249.8 meters, Time: 899.8 seconds
Name: Calle Fresas, Instruction: Turn left onto Calle Fresas, Distance: 111.4 meters, Time: 80.2 seconds
Name: Calle Magnolias, Instruction: Turn right onto Calle Magnolias, Distance: 120.3 meters, Time: 86.6 seconds
Name: -, Instruction: Turn left, Distance: 24.5 meters, Time: 17.6 seconds
Name: -, Instruction: Continue straight, Distance: 18.5 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 71.3 meters, Time: 51.3 seconds
Name: -, Instruction: Turn left, Distance: 40.4 meters, Time: 29.1 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
