Name: Galway Street, Instruction: Head north on Galway Street, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 208.5 meters, Time: 150.1 seconds
Name: -, Instruction: Turn left, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn left, Distance: 361.4 meters, Time: 260.2 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.3 seconds
Name: Arthur Street, Instruction: Turn left onto Arthur Street, Distance: 1.0 meters, Time: 0.7 seconds
Name: Catherine Street, Instruction: Turn right onto Catherine Street, Distance: 50.8 meters, Time: 36.6 seconds
Name: Yates Street, Instruction: Turn right onto Yates Street, Distance: 50.9 meters, Time: 36.7 seconds
Name: Hill Street, Instruction: Turn left onto Hill Street, Distance: 203.7 meters, Time: 146.6 seconds
Name: -, Instruction: Turn right, Distance: 123.9 meters, Time: 89.2 seconds
Name: George Terrace, Instruction: Turn right onto George Terrace, Distance: 18.5 meters, Time: 13.3 seconds
Name: Church Street, Instruction: Turn left onto Church Street, Distance: 237.0 meters, Time: 170.6 seconds
Name: -, Instruction: Turn left, Distance: 36.6 meters, Time: 26.3 seconds
Name: Beachcroft Avenue, Instruction: Turn right onto Beachcroft Avenue, Distance: 46.8 meters, Time: 33.7 seconds
Name: -, Instruction: Continue straight, Distance: 418.5 meters, Time: 301.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Turn right, Distance: 14.7 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 112.1 meters, Time: 80.7 seconds
Name: Orpheus Drive, Instruction: Turn right onto Orpheus Drive, Distance: 83.3 meters, Time: 59.9 seconds
Name: -, Instruction: Turn right, Distance: 270.2 meters, Time: 194.6 seconds
Name: Southwestern Path, Instruction: Turn slight left onto Southwestern Path, Distance: 80.2 meters, Time: 57.7 seconds
Name: -, Instruction: Turn slight left, Distance: 26.3 meters, Time: 19.0 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: Queenstown Road, Instruction: Turn left onto Queenstown Road, Distance: 77.7 meters, Time: 55.9 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
