Name: Rua Coríntios, Instruction: Head northeast on Rua Coríntios, Distance: 128.6 meters, Time: 92.6 seconds
Name: Rua Irmã Joana Chantal, Instruction: Turn left onto Rua Irmã Joana Chantal, Distance: 7.9 meters, Time: 5.7 seconds
Name: Rua Santo Ambrósio, Instruction: Turn right onto Rua Santo Ambrósio, Distance: 60.4 meters, Time: 43.5 seconds
Name: Rua Dênis, Instruction: Keep right onto Rua Dênis, Distance: 172.8 meters, Time: 124.4 seconds
Name: -, Instruction: Turn left, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn right, Distance: 50.6 meters, Time: 36.4 seconds
Name: Rua Jacupema, Instruction: Turn slight left onto Rua Jacupema, Distance: 58.9 meters, Time: 42.4 seconds
Name: Estrada da Penha, Instruction: Turn slight left onto Estrada da Penha, Distance: 377.3 meters, Time: 271.7 seconds
Name: Largo da Penha, Instruction: Keep right onto Largo da Penha, Distance: 52.3 meters, Time: 37.6 seconds
Name: Largo da Penha, Instruction: Turn sharp left onto Largo da Penha, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Turn right, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 43.8 meters, Time: 31.5 seconds
Name: -, Instruction: Keep left, Distance: 39.0 meters, Time: 28.1 seconds
Name: Largo da Penha, Instruction: Turn slight right onto Largo da Penha, Distance: 72.1 meters, Time: 51.9 seconds
Name: -, Instruction: Arrive at Largo da Penha, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
