Name: Trinity Street, Instruction: Head northwest on Trinity Street, Distance: 191.0 meters, Time: 137.5 seconds
Name: King Street East, Instruction: Turn left onto King Street East, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 33.8 meters, Time: 24.4 seconds
Name: -, Instruction: Turn left, Distance: 16.0 meters, Time: 11.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 59.0 meters, Time: 42.5 seconds
Name: Power Street, Instruction: Turn sharp right onto Power Street, Distance: 103.9 meters, Time: 74.8 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 153.8 meters, Time: 110.8 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 83.1 meters, Time: 59.8 seconds
Name: -, Instruction: Turn left, Distance: 1.7 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 15.6 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 216.2 meters, Time: 155.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
