Name: Lamb's Conduit Street, Instruction: Head south on Lamb's Conduit Street, Distance: 48.3 meters, Time: 34.8 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn slight left, Distance: 18.3 meters, Time: 13.2 seconds
Name: Theobalds Road, Instruction: Turn right onto Theobalds Road, Distance: 183.5 meters, Time: 132.1 seconds
Name: -, Instruction: Turn right, Distance: 14.9 meters, Time: 10.8 seconds
Name: -, Instruction: Turn slight left, Distance: 11.9 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 71.2 meters, Time: 51.3 seconds
Name: -, Instruction: Keep left, Distance: 76.3 meters, Time: 55.0 seconds
Name: -, Instruction: Turn slight right, Distance: 27.3 meters, Time: 19.7 seconds
Name: -, Instruction: Turn right, Distance: 41.2 meters, Time: 29.6 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: Kingsway, Instruction: Turn left onto Kingsway, Distance: 134.1 meters, Time: 96.6 seconds
Name: -, Instruction: Turn right, Distance: 24.2 meters, Time: 17.4 seconds
Name: Kingsway, Instruction: Turn left onto Kingsway, Distance: 17.2 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.8 seconds
Name: Kingsway, Instruction: Turn right onto Kingsway, Distance: 411.4 meters, Time: 296.2 seconds
Name: -, Instruction: Turn left, Distance: 99.3 meters, Time: 71.5 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn slight left, Distance: 64.6 meters, Time: 46.5 seconds
Name: -, Instruction: Turn left, Distance: 26.3 meters, Time: 18.9 seconds
Name: -, Instruction: Turn right, Distance: 537.1 meters, Time: 386.7 seconds
Name: -, Instruction: Turn left, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn slight left, Distance: 22.7 meters, Time: 16.3 seconds
Name: Theatre Avenue, Instruction: Turn right onto Theatre Avenue, Distance: 116.6 meters, Time: 84.0 seconds
Name: -, Instruction: Turn left, Distance: 129.2 meters, Time: 93.0 seconds
Name: -, Instruction: Turn left, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
