Name: Rond-Point Victor Hugo, Instruction: Head north on Rond-Point Victor Hugo, Distance: 19.2 meters, Time: 13.8 seconds
Name: Rue Victor Hugo, Instruction: Turn sharp left onto Rue Victor Hugo, Distance: 658.2 meters, Time: 473.9 seconds
Name: -, Instruction: Turn right, Distance: 116.1 meters, Time: 83.6 seconds
Name: -, Instruction: Turn left, Distance: 52.0 meters, Time: 37.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Keep right, Distance: 357.4 meters, Time: 257.3 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.1 seconds
Name: -, Instruction: Turn slight right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 94.3 meters, Time: 67.9 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn slight left, Distance: 317.7 meters, Time: 228.8 seconds
Name: -, Instruction: Turn left, Distance: 160.1 meters, Time: 115.2 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.2 seconds
Name: -, Instruction: Turn slight left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Keep left, Distance: 292.0 meters, Time: 210.3 seconds
Name: -, Instruction: Turn left, Distance: 13.1 meters, Time: 9.5 seconds
Name: -, Instruction: Turn left, Distance: 35.6 meters, Time: 25.6 seconds
Name: -, Instruction: Turn left, Distance: 256.0 meters, Time: 184.3 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 93.8 meters, Time: 67.5 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
