Name: Yishun Street 11, Instruction: Head south on Yishun Street 11, Distance: 117.6 meters, Time: 84.7 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 31.4 meters, Time: 22.6 seconds
Name: -, Instruction: Turn left, Distance: 144.9 meters, Time: 104.3 seconds
Name: Yishun Park Connector, Instruction: Continue straight onto Yishun Park Connector, Distance: 23.6 meters, Time: 17.0 seconds
Name: Yishun Park Connector, Instruction: Keep left onto Yishun Park Connector, Distance: 23.0 meters, Time: 16.6 seconds
Name: -, Instruction: Continue straight, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Turn slight left, Distance: 62.5 meters, Time: 45.0 seconds
Name: Yishun Central Service Road, Instruction: Turn right onto Yishun Central Service Road, Distance: 92.6 meters, Time: 66.7 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 51.6 meters, Time: 37.2 seconds
Name: -, Instruction: Turn right, Distance: 134.0 meters, Time: 96.5 seconds
Name: -, Instruction: Turn right, Distance: 128.5 meters, Time: 92.5 seconds
Name: -, Instruction: Keep right, Distance: 72.5 meters, Time: 52.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
