Name: Schubinweg, Instruction: Head west on Schubinweg, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 64.1 meters, Time: 46.2 seconds
Name: -, Instruction: Turn left, Distance: 75.0 meters, Time: 54.0 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 276.7 meters, Time: 199.2 seconds
Name: -, Instruction: Turn left, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn right, Distance: 242.6 meters, Time: 174.7 seconds
Name: -, Instruction: Keep right, Distance: 617.5 meters, Time: 444.6 seconds
Name: -, Instruction: Turn right, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn right, Distance: 118.5 meters, Time: 85.3 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.2 seconds
Name: Danziger Straße, Instruction: Turn right onto Danziger Straße, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Arrive at Danziger Straße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
