Name: Travessa Vitorio Emanuel, Instruction: Head southeast on Travessa Vitorio Emanuel, Distance: 80.0 meters, Time: 57.6 seconds
Name: Rua Santa Sofia, Instruction: Turn sharp right onto Rua Santa Sofia, Distance: 210.3 meters, Time: 151.4 seconds
Name: -, Instruction: Turn left, Distance: 91.4 meters, Time: 65.8 seconds
Name: Rua das Flores, Instruction: Turn left onto Rua das Flores, Distance: 82.5 meters, Time: 59.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 2.3 meters, Time: 1.7 seconds
Name: Rua das Flores, Instruction: Turn right onto Rua das Flores, Distance: 43.0 meters, Time: 31.0 seconds
Name: -, Instruction: Turn slight left, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.1 seconds
Name: Praça Saenz Peña, Instruction: Turn right onto Praça Saenz Peña, Distance: 167.8 meters, Time: 120.8 seconds
Name: Rua Desembargador Izidro, Instruction: Turn slight left onto Rua Desembargador Izidro, Distance: 642.1 meters, Time: 462.3 seconds
Name: Rua Desembargador Izidro, Instruction: Keep right onto Rua Desembargador Izidro, Distance: 113.2 meters, Time: 81.5 seconds
Name: -, Instruction: Turn left, Distance: 30.7 meters, Time: 22.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
