Name: Montana Court, Instruction: Head northeast on Montana Court, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 177.7 meters, Time: 127.9 seconds
Name: Scottsdale Street, Instruction: Turn left onto Scottsdale Street, Distance: 94.0 meters, Time: 67.7 seconds
Name: Phoenix Avenue, Instruction: Turn left onto Phoenix Avenue, Distance: 211.4 meters, Time: 152.2 seconds
Name: -, Instruction: Turn right, Distance: 71.4 meters, Time: 51.4 seconds
Name: Solitaire Court, Instruction: Turn right onto Solitaire Court, Distance: 211.8 meters, Time: 152.5 seconds
Name: Ponytail Drive, Instruction: Turn left onto Ponytail Drive, Distance: 226.5 meters, Time: 163.1 seconds
Name: Ponytail Drive, Instruction: Keep right onto Ponytail Drive, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 166.0 meters, Time: 119.5 seconds
Name: -, Instruction: Keep left, Distance: 206.2 meters, Time: 148.5 seconds
Name: -, Instruction: Keep left, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn left, Distance: 73.5 meters, Time: 52.9 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: Northwood Street, Instruction: Turn sharp right onto Northwood Street, Distance: 6.4 meters, Time: 4.6 seconds
Name: Watford Drive, Instruction: Turn right onto Watford Drive, Distance: 34.5 meters, Time: 24.9 seconds
Name: -, Instruction: Turn left, Distance: 218.9 meters, Time: 157.6 seconds
Name: Edgewood Drive, Instruction: Turn left onto Edgewood Drive, Distance: 4.7 meters, Time: 3.4 seconds
Name: Brackley Street, Instruction: Turn left onto Brackley Street, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Arrive at Brackley Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
