Name: Pape Avenue, Instruction: Head south on Pape Avenue, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 132.4 meters, Time: 95.3 seconds
Name: -, Instruction: Turn right, Distance: 57.9 meters, Time: 41.7 seconds
Name: -, Instruction: Turn slight right, Distance: 62.3 meters, Time: 44.8 seconds
Name: -, Instruction: Turn left, Distance: 39.3 meters, Time: 28.3 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: Langley Avenue, Instruction: Turn left onto Langley Avenue, Distance: 99.5 meters, Time: 71.7 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 41.0 meters, Time: 29.5 seconds
Name: -, Instruction: Keep right, Distance: 93.6 meters, Time: 67.4 seconds
Name: -, Instruction: Keep left, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Turn left, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Keep right, Distance: 82.5 meters, Time: 59.4 seconds
Name: -, Instruction: Turn slight right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Keep left, Distance: 6.0 meters, Time: 4.3 seconds
Name: Withrow Avenue, Instruction: Turn left onto Withrow Avenue, Distance: 7.7 meters, Time: 5.5 seconds
Name: Carlaw Avenue, Instruction: Turn right onto Carlaw Avenue, Distance: 433.1 meters, Time: 311.8 seconds
Name: Withrow Park Trail, Instruction: Turn left onto Withrow Park Trail, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Keep right, Distance: 162.9 meters, Time: 117.3 seconds
Name: Fenwick Avenue, Instruction: Continue straight onto Fenwick Avenue, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 158.7 meters, Time: 114.2 seconds
Name: -, Instruction: Turn left, Distance: 99.7 meters, Time: 71.8 seconds
Name: -, Instruction: Turn right, Distance: 33.8 meters, Time: 24.3 seconds
Name: -, Instruction: Turn left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 20.2 meters, Time: 14.6 seconds
Name: -, Instruction: Turn left, Distance: 551.8 meters, Time: 397.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
