Name: Bukit Batok West Avenue 4, Instruction: Head northeast on Bukit Batok West Avenue 4, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 135.8 meters, Time: 97.7 seconds
Name: -, Instruction: Turn right, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn left, Distance: 391.3 meters, Time: 281.7 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.2 seconds
Name: Bukit Batok Park Connector, Instruction: Turn slight right onto Bukit Batok Park Connector, Distance: 476.9 meters, Time: 343.4 seconds
Name: Bukit Batok Park Connector, Instruction: Turn left onto Bukit Batok Park Connector, Distance: 4.8 meters, Time: 3.5 seconds
Name: Bukit Batok Park Connector, Instruction: Turn right onto Bukit Batok Park Connector, Distance: 28.8 meters, Time: 20.7 seconds
Name: Bukit Batok Park Connector, Instruction: Turn slight right onto Bukit Batok Park Connector, Distance: 4.7 meters, Time: 3.4 seconds
Name: Bukit Batok Park Connector, Instruction: Turn left onto Bukit Batok Park Connector, Distance: 463.2 meters, Time: 333.5 seconds
Name: Bukit Batok Park Connector, Instruction: Turn left onto Bukit Batok Park Connector, Distance: 36.4 meters, Time: 26.2 seconds
Name: -, Instruction: Turn left, Distance: 433.8 meters, Time: 312.3 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: Bukit Batok Street 21, Instruction: Turn right onto Bukit Batok Street 21, Distance: 68.4 meters, Time: 49.3 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn slight left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 356.3 meters, Time: 256.5 seconds
Name: -, Instruction: Turn slight right, Distance: 7.4 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
