Name: Rue Gounod, Instruction: Head north on Rue Gounod, Distance: 11.4 meters, Time: 8.2 seconds
Name: Rue Pierre Demours, Instruction: Turn slight right onto Rue Pierre Demours, Distance: 70.4 meters, Time: 50.7 seconds
Name: -, Instruction: Turn right, Distance: 88.8 meters, Time: 64.0 seconds
Name: -, Instruction: Turn left, Distance: 27.3 meters, Time: 19.7 seconds
Name: -, Instruction: Turn right, Distance: 135.3 meters, Time: 97.4 seconds
Name: -, Instruction: Turn right, Distance: 24.9 meters, Time: 18.0 seconds
Name: -, Instruction: Turn left, Distance: 186.9 meters, Time: 134.5 seconds
Name: -, Instruction: Turn right, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn slight left, Distance: 81.5 meters, Time: 58.7 seconds
Name: -, Instruction: Turn right, Distance: 80.1 meters, Time: 57.7 seconds
Name: -, Instruction: Turn left, Distance: 81.6 meters, Time: 58.8 seconds
Name: -, Instruction: Turn slight right, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Keep left, Distance: 41.3 meters, Time: 29.8 seconds
Name: Rue des Tapisseries, Instruction: Turn left onto Rue des Tapisseries, Distance: 135.1 meters, Time: 97.2 seconds
Name: -, Instruction: Turn right, Distance: 79.6 meters, Time: 57.3 seconds
Name: -, Instruction: Keep right, Distance: 141.0 meters, Time: 101.5 seconds
Name: -, Instruction: Turn slight left, Distance: 137.7 meters, Time: 99.1 seconds
Name: Place Marcelle Henry, Instruction: Continue straight onto Place Marcelle Henry, Distance: 128.3 meters, Time: 92.4 seconds
Name: -, Instruction: Arrive at Place Marcelle Henry, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
