Name: Roseman Avenue, Instruction: Head north on Roseman Avenue, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 219.7 meters, Time: 158.2 seconds
Name: Southwestern Path, Instruction: Turn left onto Southwestern Path, Distance: 1339.6 meters, Time: 964.5 seconds
Name: -, Instruction: Keep left, Distance: 44.9 meters, Time: 32.4 seconds
Name: -, Instruction: Turn left, Distance: 13.8 meters, Time: 9.9 seconds
Name: Southwestern Path, Instruction: Turn slight left onto Southwestern Path, Distance: 6.2 meters, Time: 4.5 seconds
Name: Southwestern Path, Instruction: Turn right onto Southwestern Path, Distance: 307.6 meters, Time: 221.5 seconds
Name: -, Instruction: Turn left, Distance: 33.9 meters, Time: 24.4 seconds
Name: -, Instruction: Turn right, Distance: 130.8 meters, Time: 94.2 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
