Name: Caddies Boulevarde, Instruction: Head northwest on Caddies Boulevarde, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 367.5 meters, Time: 264.6 seconds
Name: -, Instruction: Turn left, Distance: 34.6 meters, Time: 24.9 seconds
Name: -, Instruction: Turn right, Distance: 60.1 meters, Time: 43.3 seconds
Name: -, Instruction: Turn left, Distance: 185.8 meters, Time: 133.8 seconds
Name: -, Instruction: Turn right, Distance: 57.8 meters, Time: 41.6 seconds
Name: Kilbenny Street, Instruction: Turn left onto Kilbenny Street, Distance: 142.0 meters, Time: 102.2 seconds
Name: Clonmore Street, Instruction: Turn left onto Clonmore Street, Distance: 287.2 meters, Time: 206.8 seconds
Name: -, Instruction: Turn left, Distance: 200.2 meters, Time: 144.2 seconds
Name: -, Instruction: Turn left, Distance: 210.1 meters, Time: 151.2 seconds
Name: Betts Street, Instruction: Turn right onto Betts Street, Distance: 69.3 meters, Time: 49.9 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 247.8 meters, Time: 178.4 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
