Name: Avenue de la Croix, Instruction: Head northwest on Avenue de la Croix, Distance: 287.6 meters, Time: 207.1 seconds
Name: Chemin Lepage, Instruction: Turn left onto Chemin Lepage, Distance: 36.0 meters, Time: 25.9 seconds
Name: Chemin Saint-Nicolas, Instruction: Turn sharp right onto Chemin Saint-Nicolas, Distance: 87.2 meters, Time: 62.8 seconds
Name: -, Instruction: Turn left, Distance: 20.1 meters, Time: 14.5 seconds
Name: Rue Ganneron, Instruction: Turn right onto Rue Ganneron, Distance: 38.6 meters, Time: 27.8 seconds
Name: Villa Saint-Michel, Instruction: Turn left onto Villa Saint-Michel, Distance: 162.4 meters, Time: 116.9 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 13.4 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: Rue Davy, Instruction: Turn left onto Rue Davy, Distance: 335.9 meters, Time: 241.9 seconds
Name: -, Instruction: Turn slight right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 5.9 seconds
Name: -, Instruction: Keep right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 69.9 meters, Time: 50.3 seconds
Name: -, Instruction: Turn left, Distance: 56.3 meters, Time: 40.5 seconds
Name: -, Instruction: Turn right, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn left, Distance: 145.7 meters, Time: 104.9 seconds
Name: -, Instruction: Turn left, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 45.7 meters, Time: 32.9 seconds
Name: Rue René Blum, Instruction: Turn right onto Rue René Blum, Distance: 116.5 meters, Time: 83.9 seconds
Name: Allée André François Bron De Bailly, Instruction: Turn left onto Allée André François Bron De Bailly, Distance: 6.1 meters, Time: 4.4 seconds
Name: Allée André François Bron De Bailly, Instruction: Keep right onto Allée André François Bron De Bailly, Distance: 83.1 meters, Time: 59.9 seconds
Name: -, Instruction: Arrive at Allée André François Bron De Bailly, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
