Name: Sonnwendjochstraße, Instruction: Head northeast on Sonnwendjochstraße, Distance: 154.3 meters, Time: 111.1 seconds
Name: Blombergstraße, Instruction: Turn left onto Blombergstraße, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 427.0 meters, Time: 307.4 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 30.1 meters, Time: 21.7 seconds
Name: -, Instruction: Turn left, Distance: 40.9 meters, Time: 29.4 seconds
Name: -, Instruction: Turn right, Distance: 263.8 meters, Time: 189.9 seconds
Name: Hansjakobstraße, Instruction: Turn right onto Hansjakobstraße, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn left, Distance: 92.5 meters, Time: 66.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 74.4 meters, Time: 53.5 seconds
Name: Auf dem Wasen, Instruction: Turn left onto Auf dem Wasen, Distance: 269.1 meters, Time: 193.7 seconds
Name: Xaver-Weismor-Straße, Instruction: Turn right onto Xaver-Weismor-Straße, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 60.9 meters, Time: 43.9 seconds
Name: -, Instruction: Turn slight left, Distance: 104.0 meters, Time: 74.9 seconds
Name: -, Instruction: Turn slight right, Distance: 59.6 meters, Time: 42.9 seconds
Name: -, Instruction: Turn left, Distance: 15.0 meters, Time: 10.8 seconds
Name: Xaver-Weismor-Straße, Instruction: Turn left onto Xaver-Weismor-Straße, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 56.4 meters, Time: 40.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
