Name: Rue Saint-Antoine, Instruction: Head northwest on Rue Saint-Antoine, Distance: 41.6 meters, Time: 29.9 seconds
Name: -, Instruction: Turn left, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Turn slight right, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Keep right, Distance: 236.9 meters, Time: 170.6 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn slight left, Distance: 124.3 meters, Time: 89.5 seconds
Name: -, Instruction: Turn slight left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn slight right, Distance: 5.1 meters, Time: 3.6 seconds
Name: -, Instruction: Keep left, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn left, Distance: 46.1 meters, Time: 33.2 seconds
Name: -, Instruction: Turn right, Distance: 1.6 meters, Time: 1.2 seconds
Name: Rue Geoffroy l'Asnier, Instruction: Turn left onto Rue Geoffroy l'Asnier, Distance: 145.4 meters, Time: 104.7 seconds
Name: -, Instruction: Turn right, Distance: 54.9 meters, Time: 39.5 seconds
Name: -, Instruction: Turn left, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Turn slight left, Distance: 109.5 meters, Time: 78.8 seconds
Name: -, Instruction: Keep right, Distance: 58.1 meters, Time: 41.8 seconds
Name: -, Instruction: Turn right, Distance: 10.9 meters, Time: 7.9 seconds
Name: -, Instruction: Turn left, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Turn slight left, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Keep right, Distance: 68.8 meters, Time: 49.5 seconds
Name: -, Instruction: Turn right, Distance: 18.1 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 116.5 meters, Time: 83.8 seconds
Name: -, Instruction: Turn left, Distance: 102.7 meters, Time: 73.9 seconds
Name: -, Instruction: Turn left, Distance: 23.5 meters, Time: 16.9 seconds
Name: -, Instruction: Turn right, Distance: 100.9 meters, Time: 72.6 seconds
Name: -, Instruction: Turn left, Distance: 30.3 meters, Time: 21.8 seconds
Name: -, Instruction: Turn right, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn slight left, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn left, Distance: 37.8 meters, Time: 27.2 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 33.2 meters, Time: 23.9 seconds
Name: Rue du Chat Qui Pêche, Instruction: Turn left onto Rue du Chat Qui Pêche, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 23.8 meters, Time: 17.1 seconds
Name: Rue Xavier Privas, Instruction: Turn left onto Rue Xavier Privas, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn right, Distance: 1.9 meters, Time: 1.4 seconds
Name: Rue Xavier Privas, Instruction: Turn left onto Rue Xavier Privas, Distance: 29.7 meters, Time: 21.4 seconds
Name: Rue de la Huchette, Instruction: Turn right onto Rue de la Huchette, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Turn left, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Continue straight, Distance: 0.7 meters, Time: 0.5 seconds
Name: -, Instruction: Turn right, Distance: 41.6 meters, Time: 29.9 seconds
Name: -, Instruction: Turn right, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn slight left, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn slight right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 47.7 meters, Time: 34.3 seconds
Name: -, Instruction: Turn slight left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: Place Saint-André des Arts, Instruction: Turn right onto Place Saint-André des Arts, Distance: 6.0 meters, Time: 4.3 seconds
Name: Rue Saint-André des Arts, Instruction: Continue straight onto Rue Saint-André des Arts, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Keep right, Distance: 26.3 meters, Time: 19.0 seconds
Name: -, Instruction: Turn slight right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Keep left, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Keep right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 129.7 meters, Time: 93.4 seconds
Name: -, Instruction: Keep right, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Keep left, Distance: 63.0 meters, Time: 45.4 seconds
Name: -, Instruction: Turn right, Distance: 30.2 meters, Time: 21.7 seconds
Name: -, Instruction: Turn left, Distance: 19.8 meters, Time: 14.2 seconds
Name: Place Henri Mondor, Instruction: Turn right onto Place Henri Mondor, Distance: 80.3 meters, Time: 57.8 seconds
Name: -, Instruction: Turn slight right, Distance: 82.1 meters, Time: 59.1 seconds
Name: -, Instruction: Turn slight left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 49.3 meters, Time: 35.5 seconds
Name: -, Instruction: Turn left, Distance: 31.6 meters, Time: 22.7 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn left, Distance: 86.9 meters, Time: 62.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
