Name: Bellevue Avenue, Instruction: Head north on Bellevue Avenue, Distance: 443.0 meters, Time: 319.0 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 43.8 meters, Time: 31.5 seconds
Name: -, Instruction: Turn right, Distance: 26.3 meters, Time: 18.9 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 40.6 meters, Time: 29.2 seconds
Name: Cyril Lane, Instruction: Turn left onto Cyril Lane, Distance: 3.3 meters, Time: 2.3 seconds
Name: Borden Street, Instruction: Turn right onto Borden Street, Distance: 737.4 meters, Time: 530.9 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 58.4 meters, Time: 42.1 seconds
Name: -, Instruction: Turn slight left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
