Name: Stansfield Avenue, Instruction: Head northwest on Stansfield Avenue, Distance: 570.9 meters, Time: 411.1 seconds
Name: -, Instruction: Turn left, Distance: 563.9 meters, Time: 406.0 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.5 seconds
Name: North Terrace, Instruction: Turn left onto North Terrace, Distance: 78.7 meters, Time: 56.6 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 198.1 meters, Time: 142.6 seconds
Name: Link Road, Instruction: Turn right onto Link Road, Distance: 131.9 meters, Time: 94.9 seconds
Name: -, Instruction: Turn left, Distance: 78.0 meters, Time: 56.1 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn right, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 21.6 meters, Time: 15.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
