Name: Hereford Street, Instruction: Head west on Hereford Street, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 67.6 meters, Time: 48.7 seconds
Name: -, Instruction: Keep right, Distance: 254.4 meters, Time: 183.1 seconds
Name: -, Instruction: Keep right, Distance: 84.9 meters, Time: 61.1 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: Durham Street, Instruction: Turn right onto Durham Street, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 113.4 meters, Time: 81.6 seconds
Name: -, Instruction: Turn left, Distance: 388.2 meters, Time: 279.5 seconds
Name: -, Instruction: Turn right, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 77.9 meters, Time: 56.1 seconds
Name: -, Instruction: Turn left, Distance: 177.1 meters, Time: 127.5 seconds
Name: -, Instruction: Keep right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
