Name: Ridout Street, Instruction: Head west on Ridout Street, Distance: 66.2 meters, Time: 47.7 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 46.7 meters, Time: 33.6 seconds
Name: -, Instruction: Turn right, Distance: 246.8 meters, Time: 177.7 seconds
Name: -, Instruction: Turn left, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Keep left, Distance: 252.3 meters, Time: 181.6 seconds
Name: -, Instruction: Keep right, Distance: 162.7 meters, Time: 117.1 seconds
Name: -, Instruction: Turn right, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn left, Distance: 291.9 meters, Time: 210.2 seconds
Name: -, Instruction: Keep right, Distance: 29.0 meters, Time: 20.9 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.3 seconds
Name: Parkview Gardens, Instruction: Turn right onto Parkview Gardens, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Turn left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn right, Distance: 115.2 meters, Time: 83.0 seconds
Name: -, Instruction: Turn right, Distance: 197.0 meters, Time: 141.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 227.2 meters, Time: 163.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
