Name: Felgrove Street, Instruction: Head northwest on Felgrove Street, Distance: 293.1 meters, Time: 211.0 seconds
Name: Manhattan Heights, Instruction: Turn right onto Manhattan Heights, Distance: 648.5 meters, Time: 466.9 seconds
Name: Fairbanks Place, Instruction: Turn left onto Fairbanks Place, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 102.3 meters, Time: 73.6 seconds
Name: -, Instruction: Turn slight left, Distance: 16.3 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 46.1 meters, Time: 33.2 seconds
Name: -, Instruction: Turn left, Distance: 11.6 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 93.8 meters, Time: 67.6 seconds
Name: -, Instruction: Keep right, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Keep right, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
