Name: Willowvale Lane, Instruction: Head north on Willowvale Lane, Distance: 86.5 meters, Time: 62.3 seconds
Name: -, Instruction: Turn left, Distance: 170.2 meters, Time: 122.6 seconds
Name: Miles Place, Instruction: Turn right onto Miles Place, Distance: 42.2 meters, Time: 30.4 seconds
Name: Melville Avenue, Instruction: Turn left onto Melville Avenue, Distance: 213.3 meters, Time: 153.6 seconds
Name: -, Instruction: Turn right, Distance: 76.3 meters, Time: 54.9 seconds
Name: -, Instruction: Turn left, Distance: 186.4 meters, Time: 134.2 seconds
Name: -, Instruction: Turn right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Keep left, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Turn left, Distance: 299.3 meters, Time: 215.5 seconds
Name: -, Instruction: Turn right, Distance: 102.3 meters, Time: 73.6 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.3 seconds
Name: Geary Avenue, Instruction: Turn left onto Geary Avenue, Distance: 191.8 meters, Time: 138.1 seconds
Name: Salem Avenue North, Instruction: Turn right onto Salem Avenue North, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 45.9 meters, Time: 33.0 seconds
Name: -, Instruction: Turn right, Distance: 78.2 meters, Time: 56.3 seconds
Name: -, Instruction: Continue straight, Distance: 167.9 meters, Time: 120.9 seconds
Name: -, Instruction: Turn left, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 55.7 meters, Time: 40.1 seconds
Name: -, Instruction: Turn right, Distance: 23.8 meters, Time: 17.1 seconds
Name: -, Instruction: Turn left, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 160.4 meters, Time: 115.5 seconds
Name: -, Instruction: Turn left, Distance: 96.8 meters, Time: 69.7 seconds
Name: -, Instruction: Keep right, Distance: 152.1 meters, Time: 109.5 seconds
Name: -, Instruction: Turn left, Distance: 41.9 meters, Time: 30.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
