Name: Glengrove Avenue West, Instruction: Head east on Glengrove Avenue West, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 117.1 meters, Time: 84.3 seconds
Name: -, Instruction: Turn left, Distance: 243.5 meters, Time: 175.3 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 9.4 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 116.4 meters, Time: 83.8 seconds
Name: Alexandra Boulevard, Instruction: Turn left onto Alexandra Boulevard, Distance: 189.3 meters, Time: 136.3 seconds
Name: -, Instruction: Turn right, Distance: 302.0 meters, Time: 217.4 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: Duplex Avenue, Instruction: Turn right onto Duplex Avenue, Distance: 6.4 meters, Time: 4.6 seconds
Name: Albertus Avenue, Instruction: Turn left onto Albertus Avenue, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 165.4 meters, Time: 119.1 seconds
Name: -, Instruction: Turn left, Distance: 105.5 meters, Time: 76.0 seconds
Name: -, Instruction: Keep right, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn right, Distance: 394.9 meters, Time: 284.3 seconds
Name: -, Instruction: Keep right, Distance: 141.9 meters, Time: 102.2 seconds
Name: -, Instruction: Keep left, Distance: 458.1 meters, Time: 329.8 seconds
Name: -, Instruction: Keep left, Distance: 8.8 meters, Time: 6.4 seconds
Name: Berwick Avenue, Instruction: Turn left onto Berwick Avenue, Distance: 11.4 meters, Time: 8.2 seconds
Name: Yonge Street, Instruction: Turn left onto Yonge Street, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Arrive at Yonge Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
