Name: Arader Straße, Instruction: Head east on Arader Straße, Distance: 121.9 meters, Time: 87.8 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Continue straight, Distance: 145.9 meters, Time: 105.1 seconds
Name: -, Instruction: Turn slight left, Distance: 83.8 meters, Time: 60.3 seconds
Name: Höglwörther Straße, Instruction: Keep left onto Höglwörther Straße, Distance: 307.3 meters, Time: 221.3 seconds
Name: Bannwaldseestraße, Instruction: Turn right onto Bannwaldseestraße, Distance: 14.0 meters, Time: 10.1 seconds
Name: Höglwörther Straße, Instruction: Turn left onto Höglwörther Straße, Distance: 211.5 meters, Time: 152.2 seconds
Name: -, Instruction: Turn right, Distance: 153.7 meters, Time: 110.7 seconds
Name: Salzachstraße, Instruction: Turn slight left onto Salzachstraße, Distance: 4.1 meters, Time: 2.9 seconds
Name: Salzachstraße, Instruction: Turn slight left onto Salzachstraße, Distance: 94.9 meters, Time: 68.3 seconds
Name: Ramsauer Straße, Instruction: Turn left onto Ramsauer Straße, Distance: 60.0 meters, Time: 43.2 seconds
Name: -, Instruction: Turn right, Distance: 283.9 meters, Time: 204.4 seconds
Name: -, Instruction: Keep right, Distance: 48.8 meters, Time: 35.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
