Name: Segar Road, Instruction: Head northwest on Segar Road, Distance: 29.5 meters, Time: 21.3 seconds
Name: Bukit Panjang Park Connector, Instruction: Turn left onto Bukit Panjang Park Connector, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 312.9 meters, Time: 225.3 seconds
Name: -, Instruction: Turn right, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn left, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Turn right, Distance: 622.7 meters, Time: 448.4 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn slight left, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 409.3 meters, Time: 294.7 seconds
Name: -, Instruction: Turn right, Distance: 28.5 meters, Time: 20.5 seconds
Name: -, Instruction: Turn slight right, Distance: 2.5 meters, Time: 1.8 seconds
Name: CPN, Instruction: Turn slight left onto CPN, Distance: 45.1 meters, Time: 32.4 seconds
Name: -, Instruction: Turn left, Distance: 31.6 meters, Time: 22.8 seconds
Name: -, Instruction: Turn left, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 110.8 meters, Time: 79.8 seconds
Name: -, Instruction: Turn left, Distance: 48.3 meters, Time: 34.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
