Name: Maltings Place, Instruction: Head east on Maltings Place, Distance: 3.7 meters, Time: 2.7 seconds
Name: Roper Lane, Instruction: Turn right onto Roper Lane, Distance: 9.1 meters, Time: 6.6 seconds
Name: Roper Lane, Instruction: Keep left onto Roper Lane, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 197.1 meters, Time: 141.9 seconds
Name: -, Instruction: Turn right, Distance: 15.3 meters, Time: 11.0 seconds
Name: Tooley Street, Instruction: Turn right onto Tooley Street, Distance: 39.8 meters, Time: 28.7 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: Queen Elizabeth Street, Instruction: Turn right onto Queen Elizabeth Street, Distance: 816.0 meters, Time: 587.5 seconds
Name: Tower Hill, Instruction: Keep right onto Tower Hill, Distance: 35.5 meters, Time: 25.6 seconds
Name: -, Instruction: Turn right, Distance: 13.3 meters, Time: 9.5 seconds
Name: -, Instruction: Turn left, Distance: 44.5 meters, Time: 32.0 seconds
Name: Tower Hill, Instruction: Turn left onto Tower Hill, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Turn right, Distance: 29.3 meters, Time: 21.1 seconds
Name: Trinity Place, Instruction: Turn left onto Trinity Place, Distance: 0.4 meters, Time: 0.3 seconds
Name: -, Instruction: Turn right, Distance: 23.1 meters, Time: 16.6 seconds
Name: Crescent, Instruction: Continue straight onto Crescent, Distance: 141.2 meters, Time: 101.7 seconds
Name: Crosswall, Instruction: Turn left onto Crosswall, Distance: 101.6 meters, Time: 73.2 seconds
Name: Coopers Row, Instruction: Turn right onto Coopers Row, Distance: 36.0 meters, Time: 26.0 seconds
Name: Northumberland Alley, Instruction: Turn left onto Northumberland Alley, Distance: 78.5 meters, Time: 56.5 seconds
Name: Northumberland Alley, Instruction: Turn left onto Northumberland Alley, Distance: 4.7 meters, Time: 3.4 seconds
Name: Northumberland Alley, Instruction: Turn slight right onto Northumberland Alley, Distance: 58.9 meters, Time: 42.4 seconds
Name: Fenchurch Street, Instruction: Turn left onto Fenchurch Street, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 60.1 meters, Time: 43.3 seconds
Name: Leadenhall Street, Instruction: Turn left onto Leadenhall Street, Distance: 47.9 meters, Time: 34.5 seconds
Name: Creechurch Lane, Instruction: Turn right onto Creechurch Lane, Distance: 47.3 meters, Time: 34.0 seconds
Name: -, Instruction: Turn left, Distance: 45.1 meters, Time: 32.5 seconds
Name: Cunard Place, Instruction: Turn right onto Cunard Place, Distance: 2.5 meters, Time: 1.8 seconds
Name: Bury Street, Instruction: Turn left onto Bury Street, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Turn left, Distance: 61.3 meters, Time: 44.1 seconds
Name: -, Instruction: Keep right, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: Saint Mary Axe, Instruction: Turn left onto Saint Mary Axe, Distance: 0.4 meters, Time: 0.3 seconds
Name: -, Instruction: Turn right, Distance: 74.7 meters, Time: 53.8 seconds
Name: -, Instruction: Turn right, Distance: 12.3 meters, Time: 8.8 seconds
Name: Great St. Helens, Instruction: Turn slight left onto Great St. Helens, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
