Name: Swinburne Street, Instruction: Head west on Swinburne Street, Distance: 9.4 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 172.6 meters, Time: 124.3 seconds
Name: -, Instruction: Turn right, Distance: 290.8 meters, Time: 209.4 seconds
Name: -, Instruction: Turn left, Distance: 413.7 meters, Time: 297.9 seconds
Name: -, Instruction: Turn left, Distance: 18.1 meters, Time: 13.0 seconds
Name: New Lynn - Sandringham Cycleway, Instruction: Turn right onto New Lynn - Sandringham Cycleway, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Keep right, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Turn right, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn slight left, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn right, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 49.8 meters, Time: 35.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
