Name: Albrecht Avenue, Instruction: Head southeast on Albrecht Avenue, Distance: 16.3 meters, Time: 11.7 seconds
Name: Molley Green Place, Instruction: Turn left onto Molley Green Place, Distance: 233.2 meters, Time: 167.9 seconds
Name: -, Instruction: Turn left, Distance: 32.3 meters, Time: 23.3 seconds
Name: -, Instruction: Turn right, Distance: 153.5 meters, Time: 110.5 seconds
Name: -, Instruction: Turn right, Distance: 17.3 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 93.0 meters, Time: 67.0 seconds
Name: -, Instruction: Turn right, Distance: 29.9 meters, Time: 21.6 seconds
Name: -, Instruction: Continue straight, Distance: 40.3 meters, Time: 29.0 seconds
Name: -, Instruction: Turn left, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 165.6 meters, Time: 119.2 seconds
Name: -, Instruction: Keep left, Distance: 224.2 meters, Time: 161.4 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.6 seconds
Name: Rogan Street, Instruction: Turn left onto Rogan Street, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 164.6 meters, Time: 118.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
