Name: 管理事務所正面通り, Instruction: Head north on 管理事務所正面通り, Distance: 62.2 meters, Time: 44.8 seconds
Name: -, Instruction: Turn left, Distance: 61.0 meters, Time: 43.9 seconds
Name: -, Instruction: Turn right, Distance: 648.1 meters, Time: 466.6 seconds
Name: -, Instruction: Turn slight left, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 62.6 meters, Time: 45.1 seconds
Name: -, Instruction: Turn left, Distance: 148.7 meters, Time: 107.1 seconds
Name: -, Instruction: Turn right, Distance: 104.8 meters, Time: 75.4 seconds
Name: -, Instruction: Turn slight left, Distance: 92.7 meters, Time: 66.8 seconds
Name: -, Instruction: Turn right, Distance: 124.6 meters, Time: 89.7 seconds
Name: -, Instruction: Turn right, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
