Name: Rue Charles Marinier, Instruction: Head west on Rue Charles Marinier, Distance: 6.9 meters, Time: 5.0 seconds
Name: Rue Viteau, Instruction: Continue straight onto Rue Viteau, Distance: 66.7 meters, Time: 48.0 seconds
Name: -, Instruction: Turn left, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 38.0 meters, Time: 27.4 seconds
Name: -, Instruction: Turn right, Distance: 66.9 meters, Time: 48.2 seconds
Name: -, Instruction: Turn slight left, Distance: 38.0 meters, Time: 27.4 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: Rue des Vallées, Instruction: Turn right onto Rue des Vallées, Distance: 7.0 meters, Time: 5.1 seconds
Name: Rue du Commandant l'Herminier, Instruction: Turn left onto Rue du Commandant l'Herminier, Distance: 30.3 meters, Time: 21.8 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn slight left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Keep left, Distance: 34.4 meters, Time: 24.7 seconds
Name: -, Instruction: Turn left, Distance: 28.3 meters, Time: 20.4 seconds
Name: -, Instruction: Turn right, Distance: 52.1 meters, Time: 37.5 seconds
Name: -, Instruction: Turn right, Distance: 90.3 meters, Time: 65.0 seconds
Name: -, Instruction: Turn slight right, Distance: 0.9 meters, Time: 0.6 seconds
Name: Avenue de la Porte de Vincennes, Instruction: Turn left onto Avenue de la Porte de Vincennes, Distance: 25.6 meters, Time: 18.4 seconds
Name: Boulevard Carnot, Instruction: Turn left onto Boulevard Carnot, Distance: 31.3 meters, Time: 22.5 seconds
Name: -, Instruction: Turn right, Distance: 44.5 meters, Time: 32.0 seconds
Name: -, Instruction: Keep left, Distance: 31.0 meters, Time: 22.3 seconds
Name: Rue Fernand Foureau, Instruction: Turn right onto Rue Fernand Foureau, Distance: 93.4 meters, Time: 67.3 seconds
Name: -, Instruction: Turn left, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Turn right, Distance: 38.1 meters, Time: 27.4 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 108.4 meters, Time: 78.1 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 132.9 meters, Time: 95.7 seconds
Name: -, Instruction: Turn right, Distance: 132.2 meters, Time: 95.1 seconds
Name: -, Instruction: Turn left, Distance: 21.6 meters, Time: 15.5 seconds
Name: -, Instruction: Turn right, Distance: 243.6 meters, Time: 175.4 seconds
Name: -, Instruction: Turn left, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 114.3 meters, Time: 82.3 seconds
Name: -, Instruction: Turn right, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 77.2 meters, Time: 55.6 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn slight right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 14.5 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 69.4 meters, Time: 49.9 seconds
Name: -, Instruction: Turn left, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn slight right, Distance: 65.9 meters, Time: 47.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
