Name: Moxon Street, Instruction: Head west on Moxon Street, Distance: 68.2 meters, Time: 49.1 seconds
Name: -, Instruction: Turn left, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 48.8 meters, Time: 35.1 seconds
Name: -, Instruction: Turn left, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 26.7 meters, Time: 19.2 seconds
Name: -, Instruction: Turn slight right, Distance: 33.6 meters, Time: 24.2 seconds
Name: -, Instruction: Turn left, Distance: 56.8 meters, Time: 40.9 seconds
Name: -, Instruction: Turn right, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 126.3 meters, Time: 90.9 seconds
Name: -, Instruction: Keep left, Distance: 16.8 meters, Time: 12.1 seconds
Name: David Mews, Instruction: Turn right onto David Mews, Distance: 3.0 meters, Time: 2.1 seconds
Name: Porter Street, Instruction: Turn left onto Porter Street, Distance: 197.5 meters, Time: 142.2 seconds
Name: -, Instruction: Turn right, Distance: 52.7 meters, Time: 37.9 seconds
Name: -, Instruction: Turn left, Distance: 13.6 meters, Time: 9.8 seconds
Name: Marylebone Road, Instruction: Turn right onto Marylebone Road, Distance: 89.4 meters, Time: 64.4 seconds
Name: -, Instruction: Turn right, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 31.3 meters, Time: 22.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 241.6 meters, Time: 174.0 seconds
Name: -, Instruction: Turn left, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 14.0 meters, Time: 10.1 seconds
Name: Harewood Avenue, Instruction: Turn right onto Harewood Avenue, Distance: 78.9 meters, Time: 56.8 seconds
Name: -, Instruction: Turn left, Distance: 64.1 meters, Time: 46.1 seconds
Name: -, Instruction: Turn right, Distance: 180.0 meters, Time: 129.6 seconds
Name: Broadley Terrace, Instruction: Turn left onto Broadley Terrace, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Arrive at Broadley Terrace, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
