Name: Urnenfeldweg, Instruction: Head west on Urnenfeldweg, Distance: 36.0 meters, Time: 25.9 seconds
Name: Truderinger Straße, Instruction: Turn left onto Truderinger Straße, Distance: 330.7 meters, Time: 238.1 seconds
Name: Von-Stauffenberg-Straße, Instruction: Turn left onto Von-Stauffenberg-Straße, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 82.4 meters, Time: 59.3 seconds
Name: Leberstraße, Instruction: Turn left onto Leberstraße, Distance: 60.3 meters, Time: 43.4 seconds
Name: -, Instruction: Turn right, Distance: 54.4 meters, Time: 39.2 seconds
Name: -, Instruction: Turn left, Distance: 27.2 meters, Time: 19.6 seconds
Name: Goerdelerstraße, Instruction: Turn right onto Goerdelerstraße, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 86.0 meters, Time: 61.9 seconds
Name: Grünauer Allee, Instruction: Turn left onto Grünauer Allee, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Turn right, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Continue straight, Distance: 76.8 meters, Time: 55.3 seconds
Name: -, Instruction: Turn right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Keep left, Distance: 38.4 meters, Time: 27.6 seconds
Name: Am Hachinger Bach, Instruction: Turn left onto Am Hachinger Bach, Distance: 258.5 meters, Time: 186.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
