Name: شارع الشيخ الاشموني, Instruction: Head east on شارع الشيخ الاشموني, Distance: 137.0 meters, Time: 98.6 seconds
Name: شارع علي شعراوي باشا, Instruction: Turn right onto شارع علي شعراوي باشا, Distance: 339.0 meters, Time: 244.1 seconds
Name: شارع علي شعراوي باشا, Instruction: Keep right onto شارع علي شعراوي باشا, Distance: 55.2 meters, Time: 39.8 seconds
Name: شارع المحروسه, Instruction: Keep left onto شارع المحروسه, Distance: 97.2 meters, Time: 70.0 seconds
Name: شارع البدراوي, Instruction: Keep left onto شارع البدراوي, Distance: 112.6 meters, Time: 81.0 seconds
Name: شارع الدويدار, Instruction: Turn right onto شارع الدويدار, Distance: 27.3 meters, Time: 19.7 seconds
Name: شارع اكابي, Instruction: Turn left onto شارع اكابي, Distance: 109.0 meters, Time: 78.5 seconds
Name: شارع ترعه الجبل, Instruction: Turn left onto شارع ترعه الجبل, Distance: 12.2 meters, Time: 8.8 seconds
Name: شارع ابو رمانه, Instruction: Turn right onto شارع ابو رمانه, Distance: 53.0 meters, Time: 38.2 seconds
Name: شارع غريب, Instruction: Turn right onto شارع غريب, Distance: 92.1 meters, Time: 66.3 seconds
Name: شارع احمد حسن, Instruction: Turn left onto شارع احمد حسن, Distance: 38.8 meters, Time: 28.0 seconds
Name: شارع منشيه الصدر, Instruction: Turn right onto شارع منشيه الصدر, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 67.6 meters, Time: 48.7 seconds
Name: شارع القائد, Instruction: Turn right onto شارع القائد, Distance: 252.9 meters, Time: 182.1 seconds
Name: شارع لطفي السيد, Instruction: Turn sharp right onto شارع لطفي السيد, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Turn left, Distance: 23.4 meters, Time: 16.8 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Keep left, Distance: 11.6 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 147.6 meters, Time: 106.3 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 45.3 meters, Time: 32.6 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 34.1 meters, Time: 24.5 seconds
Name: -, Instruction: Turn left, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Turn right, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
