Name: Himalajastraße, Instruction: Head southeast on Himalajastraße, Distance: 85.9 meters, Time: 61.9 seconds
Name: Bergerwaldstraße, Instruction: Turn right onto Bergerwaldstraße, Distance: 433.5 meters, Time: 312.1 seconds
Name: Zehntfeldstraße, Instruction: Turn left onto Zehntfeldstraße, Distance: 95.7 meters, Time: 68.9 seconds
Name: Etzwiesenstraße, Instruction: Turn right onto Etzwiesenstraße, Distance: 88.1 meters, Time: 63.4 seconds
Name: -, Instruction: Turn right, Distance: 23.0 meters, Time: 16.6 seconds
Name: -, Instruction: Turn left, Distance: 87.5 meters, Time: 63.0 seconds
Name: -, Instruction: Keep right, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 107.5 meters, Time: 77.4 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.4 seconds
Name: Peschelanger, Instruction: Turn left onto Peschelanger, Distance: 73.9 meters, Time: 53.2 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Keep left, Distance: 114.6 meters, Time: 82.5 seconds
Name: -, Instruction: Turn left, Distance: 48.4 meters, Time: 34.8 seconds
Name: -, Instruction: Turn left, Distance: 61.7 meters, Time: 44.4 seconds
Name: -, Instruction: Turn right, Distance: 239.5 meters, Time: 172.4 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Continue straight, Distance: 31.4 meters, Time: 22.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
