Name: شارع 33, Instruction: Head west on شارع 33, Distance: 105.2 meters, Time: 75.8 seconds
Name: -, Instruction: Turn right, Distance: 65.2 meters, Time: 47.0 seconds
Name: شارع 5, Instruction: Turn left onto شارع 5, Distance: 62.8 meters, Time: 45.2 seconds
Name: -, Instruction: Turn right, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Turn left, Distance: 262.9 meters, Time: 189.3 seconds
Name: -, Instruction: Turn right, Distance: 59.6 meters, Time: 42.9 seconds
Name: شارع 49, Instruction: Turn left onto شارع 49, Distance: 31.4 meters, Time: 22.6 seconds
Name: شارع 20, Instruction: Turn right onto شارع 20, Distance: 38.8 meters, Time: 28.0 seconds
Name: شارع أطلس, Instruction: Turn left onto شارع أطلس, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Turn right, Distance: 218.1 meters, Time: 157.1 seconds
Name: -, Instruction: Turn right, Distance: 217.8 meters, Time: 156.8 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.8 seconds
Name: عطفه مصطفى عفيفي, Instruction: Turn right onto عطفه مصطفى عفيفي, Distance: 16.3 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 119.2 meters, Time: 85.9 seconds
Name: شارع الفريق عبد المنعم رياض, Instruction: Turn right onto شارع الفريق عبد المنعم رياض, Distance: 246.8 meters, Time: 177.7 seconds
Name: شارع 10, Instruction: Turn left onto شارع 10, Distance: 156.2 meters, Time: 112.5 seconds
Name: شارع 10, Instruction: Turn right onto شارع 10, Distance: 9.5 meters, Time: 6.8 seconds
Name: شارع 14, Instruction: Turn left onto شارع 14, Distance: 137.4 meters, Time: 98.9 seconds
Name: -, Instruction: Arrive at شارع 14, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
