Name: Tonar Street, Instruction: Head northwest on Tonar Street, Distance: 121.6 meters, Time: 87.6 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 59.4 meters, Time: 42.8 seconds
Name: -, Instruction: Turn left, Distance: 28.3 meters, Time: 20.4 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 73.6 meters, Time: 53.0 seconds
Name: -, Instruction: Turn left, Distance: 177.2 meters, Time: 127.6 seconds
Name: -, Instruction: Turn right, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 191.7 meters, Time: 138.0 seconds
Name: -, Instruction: Keep right, Distance: 153.8 meters, Time: 110.7 seconds
Name: -, Instruction: Turn right, Distance: 93.4 meters, Time: 67.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
