Name: みたけ通り, Instruction: Head northwest on みたけ通り, Distance: 36.4 meters, Time: 26.2 seconds
Name: -, Instruction: Turn left, Distance: 106.0 meters, Time: 76.3 seconds
Name: -, Instruction: Turn left, Distance: 39.1 meters, Time: 28.1 seconds
Name: -, Instruction: Turn right, Distance: 150.5 meters, Time: 108.4 seconds
Name: -, Instruction: Turn left, Distance: 28.8 meters, Time: 20.8 seconds
Name: -, Instruction: Turn right, Distance: 132.2 meters, Time: 95.2 seconds
Name: -, Instruction: Turn right, Distance: 326.8 meters, Time: 235.3 seconds
Name: -, Instruction: Keep right, Distance: 50.2 meters, Time: 36.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn slight right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
