Name: William Street, Instruction: Head west on William Street, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 26.9 meters, Time: 19.4 seconds
Name: Galbraith Walkway, Instruction: Turn right onto Galbraith Walkway, Distance: 70.9 meters, Time: 51.1 seconds
Name: -, Instruction: Continue straight, Distance: 63.1 meters, Time: 45.4 seconds
Name: -, Instruction: Turn left, Distance: 12.6 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 154.8 meters, Time: 111.5 seconds
Name: -, Instruction: Turn slight left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 177.9 meters, Time: 128.1 seconds
Name: Bellevue Road, Instruction: Continue straight onto Bellevue Road, Distance: 51.9 meters, Time: 37.4 seconds
Name: Tarrant Avenue, Instruction: Turn left onto Tarrant Avenue, Distance: 59.8 meters, Time: 43.1 seconds
Name: Kulgoa Lane, Instruction: Turn right onto Kulgoa Lane, Distance: 134.1 meters, Time: 96.6 seconds
Name: Kulgoa Road, Instruction: Turn right onto Kulgoa Road, Distance: 246.6 meters, Time: 177.5 seconds
Name: Bulkara Road, Instruction: Turn right onto Bulkara Road, Distance: 276.8 meters, Time: 199.3 seconds
Name: Bulkara Road, Instruction: Keep left onto Bulkara Road, Distance: 26.4 meters, Time: 19.0 seconds
Name: Streatfield Road, Instruction: Enter the roundabout and take the 3rd exit onto Streatfield Road, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn left, Distance: 154.1 meters, Time: 111.0 seconds
Name: -, Instruction: Turn left, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn right, Distance: 149.0 meters, Time: 107.3 seconds
Name: Fairweather Street, Instruction: Turn right onto Fairweather Street, Distance: 9.1 meters, Time: 6.5 seconds
Name: Bellevue Road, Instruction: Enter the roundabout and take the 1st exit onto Bellevue Road, Distance: 183.0 meters, Time: 131.7 seconds
Name: Rivers Street, Instruction: Turn left onto Rivers Street, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 426.7 meters, Time: 307.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
