Name: Evergreen Avenue, Instruction: Head north on Evergreen Avenue, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 206.0 meters, Time: 148.3 seconds
Name: -, Instruction: Turn slight right, Distance: 255.2 meters, Time: 183.7 seconds
Name: -, Instruction: Turn right, Distance: 251.2 meters, Time: 180.9 seconds
Name: -, Instruction: Turn left, Distance: 23.1 meters, Time: 16.7 seconds
Name: -, Instruction: Turn right, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Turn right, Distance: 30.9 meters, Time: 22.3 seconds
Name: -, Instruction: Turn left, Distance: 76.5 meters, Time: 55.0 seconds
Name: -, Instruction: Keep left, Distance: 458.6 meters, Time: 330.2 seconds
Name: -, Instruction: Turn left, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 57.8 meters, Time: 41.6 seconds
Name: -, Instruction: Turn left, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Turn slight right, Distance: 101.7 meters, Time: 73.2 seconds
Name: -, Instruction: Keep left, Distance: 38.0 meters, Time: 27.3 seconds
Name: -, Instruction: Turn left, Distance: 244.9 meters, Time: 176.4 seconds
Name: -, Instruction: Turn left, Distance: 28.0 meters, Time: 20.2 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
