Name: 長久保通り, Instruction: Head west on 長久保通り, Distance: 32.9 meters, Time: 23.7 seconds
Name: 栄七条通り, Instruction: Continue straight onto 栄七条通り, Distance: 257.5 meters, Time: 185.4 seconds
Name: -, Instruction: Turn left, Distance: 79.3 meters, Time: 57.1 seconds
Name: -, Instruction: Turn right, Distance: 93.4 meters, Time: 67.3 seconds
Name: -, Instruction: Turn left, Distance: 81.5 meters, Time: 58.7 seconds
Name: -, Instruction: Turn right, Distance: 155.6 meters, Time: 112.0 seconds
Name: -, Instruction: Turn left, Distance: 26.6 meters, Time: 19.2 seconds
Name: -, Instruction: Continue straight, Distance: 51.8 meters, Time: 37.3 seconds
Name: -, Instruction: Turn right, Distance: 259.9 meters, Time: 187.1 seconds
Name: -, Instruction: Turn left, Distance: 443.3 meters, Time: 319.2 seconds
Name: -, Instruction: Turn right, Distance: 68.5 meters, Time: 49.3 seconds
Name: -, Instruction: Keep left, Distance: 58.7 meters, Time: 42.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 83.2 meters, Time: 59.9 seconds
Name: -, Instruction: Turn right, Distance: 398.6 meters, Time: 287.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
