Name: Aldwych, A4, Instruction: Head west on Aldwych, A4, Distance: 40.9 meters, Time: 29.4 seconds
Name: Houghton Street, Instruction: Turn right onto Houghton Street, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 47.3 meters, Time: 34.1 seconds
Name: -, Instruction: Turn right, Distance: 95.3 meters, Time: 68.6 seconds
Name: -, Instruction: Keep left, Distance: 96.9 meters, Time: 69.8 seconds
Name: -, Instruction: Turn slight left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn slight left, Distance: 163.0 meters, Time: 117.4 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 110.6 meters, Time: 79.6 seconds
Name: Gate Street, Instruction: Turn left onto Gate Street, Distance: 14.8 meters, Time: 10.7 seconds
Name: Little Turnstile, Instruction: Turn right onto Little Turnstile, Distance: 57.9 meters, Time: 41.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn right, Distance: 10.6 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 117.1 meters, Time: 84.3 seconds
Name: -, Instruction: Turn left, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
