Name: Estrada da Capoeira Grande, Instruction: Head southwest on Estrada da Capoeira Grande, Distance: 106.3 meters, Time: 76.5 seconds
Name: -, Instruction: Turn left, Distance: 160.3 meters, Time: 115.4 seconds
Name: -, Instruction: Continue straight, Distance: 1325.0 meters, Time: 954.0 seconds
Name: Estrada da Matriz, Instruction: Turn left onto Estrada da Matriz, Distance: 48.3 meters, Time: 34.8 seconds
Name: Estrada da Matriz, Instruction: Keep right onto Estrada da Matriz, Distance: 24.5 meters, Time: 17.6 seconds
Name: Estrada da Matriz, Instruction: Turn slight right onto Estrada da Matriz, Distance: 45.9 meters, Time: 33.1 seconds
Name: Rua Ator Jece Valadão, Instruction: Turn left onto Rua Ator Jece Valadão, Distance: 84.4 meters, Time: 60.8 seconds
Name: -, Instruction: Turn right, Distance: 80.8 meters, Time: 58.2 seconds
Name: Rua Wilma Vilena Barcelos, Instruction: Turn left onto Rua Wilma Vilena Barcelos, Distance: 443.8 meters, Time: 319.6 seconds
Name: Rua Cento e Dois, Instruction: Turn right onto Rua Cento e Dois, Distance: 127.1 meters, Time: 91.5 seconds
Name: -, Instruction: Arrive at Rua Cento e Dois, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
