Name: Villa des Fleurs, Instruction: Head southwest on Villa des Fleurs, Distance: 109.7 meters, Time: 79.0 seconds
Name: Avenue Jean Jaurès, Instruction: Turn left onto Avenue Jean Jaurès, Distance: 37.9 meters, Time: 27.3 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 30.8 meters, Time: 22.2 seconds
Name: -, Instruction: Turn left, Distance: 25.7 meters, Time: 18.5 seconds
Name: Rue de Conflans, Instruction: Turn sharp right onto Rue de Conflans, Distance: 538.8 meters, Time: 387.9 seconds
Name: Rue du Président Kennedy, Instruction: Turn left onto Rue du Président Kennedy, Distance: 64.0 meters, Time: 46.1 seconds
Name: Rue du Président Kennedy, Instruction: Turn right onto Rue du Président Kennedy, Distance: 281.3 meters, Time: 202.5 seconds
Name: Rue du Séminaire de Conflans, Instruction: Turn left onto Rue du Séminaire de Conflans, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 20.2 meters, Time: 14.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 29.1 meters, Time: 20.9 seconds
Name: Avenue de la Liberté, Instruction: Turn right onto Avenue de la Liberté, Distance: 4.1 meters, Time: 3.0 seconds
Name: Rue de l'Arcade, Instruction: Turn left onto Rue de l'Arcade, Distance: 79.7 meters, Time: 57.4 seconds
Name: Rue de l'Arcade, Instruction: Keep right onto Rue de l'Arcade, Distance: 8.0 meters, Time: 5.8 seconds
Name: Rue Necker, Instruction: Turn slight right onto Rue Necker, Distance: 10.3 meters, Time: 7.4 seconds
Name: Rue Necker, Instruction: Turn left onto Rue Necker, Distance: 122.7 meters, Time: 88.3 seconds
Name: -, Instruction: Turn right, Distance: 29.5 meters, Time: 21.2 seconds
Name: -, Instruction: Arrive at your destination, on the left, Distance: 0.0 meters, Time: 0.0 seconds
