Name: Rue de Maubeuge, Instruction: Head north on Rue de Maubeuge, Distance: 161.1 meters, Time: 116.0 seconds
Name: Boulevard de la Chapelle, Instruction: Continue straight onto Boulevard de la Chapelle, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn left, Distance: 94.1 meters, Time: 67.8 seconds
Name: Rue Fleury, Instruction: Turn right onto Rue Fleury, Distance: 93.4 meters, Time: 67.3 seconds
Name: Rue Polonceau, Instruction: Turn left onto Rue Polonceau, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn right, Distance: 60.8 meters, Time: 43.8 seconds
Name: -, Instruction: Turn right, Distance: 118.1 meters, Time: 85.0 seconds
Name: Rue Saint-Luc, Instruction: Turn sharp left onto Rue Saint-Luc, Distance: 18.0 meters, Time: 13.0 seconds
Name: Rue Léon, Instruction: Turn right onto Rue Léon, Distance: 91.3 meters, Time: 65.7 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 21.9 meters, Time: 15.8 seconds
Name: -, Instruction: Turn slight left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
