Name: Villa Ordener, Instruction: Head south on Villa Ordener, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 127.2 meters, Time: 91.6 seconds
Name: -, Instruction: Turn right, Distance: 14.4 meters, Time: 10.3 seconds
Name: -, Instruction: Turn slight left, Distance: 43.2 meters, Time: 31.1 seconds
Name: -, Instruction: Turn left, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Keep right, Distance: 4.9 meters, Time: 3.5 seconds
Name: Rue Duc, Instruction: Turn left onto Rue Duc, Distance: 525.2 meters, Time: 378.1 seconds
Name: Rue Ramey, Instruction: Continue straight onto Rue Ramey, Distance: 112.8 meters, Time: 81.2 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 237.6 meters, Time: 171.1 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: Rue de Clignancourt, Instruction: Turn right onto Rue de Clignancourt, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 65.7 meters, Time: 47.3 seconds
Name: -, Instruction: Turn left, Distance: 121.0 meters, Time: 87.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
