Name: Avenida Prefeito Dulcídio Cardoso, Instruction: Head west on Avenida Prefeito Dulcídio Cardoso, Distance: 192.3 meters, Time: 138.5 seconds
Name: Avenida Afonso Arinos de Melo Franco, Instruction: Turn sharp right onto Avenida Afonso Arinos de Melo Franco, Distance: 193.2 meters, Time: 139.1 seconds
Name: Avenida Afonso Arinos de Melo Franco, Instruction: Continue straight onto Avenida Afonso Arinos de Melo Franco, Distance: 353.1 meters, Time: 254.2 seconds
Name: Avenida Afonso Arinos de Melo Franco, Instruction: Turn slight right onto Avenida Afonso Arinos de Melo Franco, Distance: 64.9 meters, Time: 46.7 seconds
Name: Avenida das Américas, Instruction: Turn right onto Avenida das Américas, Distance: 33.4 meters, Time: 24.0 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 54.7 meters, Time: 39.4 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: Avenida das Américas, Instruction: Turn left onto Avenida das Américas, Distance: 484.1 meters, Time: 348.6 seconds
Name: -, Instruction: Turn right, Distance: 83.5 meters, Time: 60.1 seconds
Name: Avenida das Américas, Instruction: Turn left onto Avenida das Américas, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 419.4 meters, Time: 301.9 seconds
Name: -, Instruction: Arrive at your destination, on the left, Distance: 0.0 meters, Time: 0.0 seconds
