Name: Centa-Herker-Bogen, Instruction: Head west on Centa-Herker-Bogen, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn slight right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 46.5 meters, Time: 33.4 seconds
Name: -, Instruction: Turn slight left, Distance: 33.9 meters, Time: 24.4 seconds
Name: -, Instruction: Turn slight right, Distance: 14.5 meters, Time: 10.5 seconds
Name: -, Instruction: Continue straight, Distance: 84.3 meters, Time: 60.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Keep left, Distance: 42.6 meters, Time: 30.7 seconds
Name: -, Instruction: Keep right, Distance: 70.5 meters, Time: 50.8 seconds
Name: -, Instruction: Turn slight right, Distance: 354.7 meters, Time: 255.3 seconds
Name: Martin-Luther-King-Weg, Instruction: Keep right onto Martin-Luther-King-Weg, Distance: 194.7 meters, Time: 140.2 seconds
Name: Martin-Luther-King-Weg, Instruction: Keep right onto Martin-Luther-King-Weg, Distance: 26.7 meters, Time: 19.2 seconds
Name: Martin-Luther-King-Weg, Instruction: Keep left onto Martin-Luther-King-Weg, Distance: 146.0 meters, Time: 105.1 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 396.2 meters, Time: 285.3 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.5 seconds
Name: Birnauer Straße, Instruction: Turn right onto Birnauer Straße, Distance: 83.6 meters, Time: 60.2 seconds
Name: Schleißheimer Straße, Instruction: Turn left onto Schleißheimer Straße, Distance: 96.8 meters, Time: 69.7 seconds
Name: Petuelring, Instruction: Turn right onto Petuelring, Distance: 428.4 meters, Time: 308.4 seconds
Name: Belgradstraße, Instruction: Turn left onto Belgradstraße, Distance: 40.1 meters, Time: 28.9 seconds
Name: Petuelring, Instruction: Turn slight right onto Petuelring, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Keep left, Distance: 97.1 meters, Time: 69.9 seconds
Name: Kantstraße, Instruction: Turn right onto Kantstraße, Distance: 119.8 meters, Time: 86.3 seconds
Name: -, Instruction: Turn right, Distance: 41.0 meters, Time: 29.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
