Name: Rue de Candale, Instruction: Head south on Rue de Candale, Distance: 378.1 meters, Time: 272.2 seconds
Name: Rue des Pommiers, Instruction: Turn right onto Rue des Pommiers, Distance: 790.1 meters, Time: 568.9 seconds
Name: Rue André Joineau, Instruction: Turn left onto Rue André Joineau, Distance: 124.8 meters, Time: 89.9 seconds
Name: Rue Émile Augier, Instruction: Turn right onto Rue Émile Augier, Distance: 237.9 meters, Time: 171.3 seconds
Name: Passage Augier, Instruction: Turn slight right onto Passage Augier, Distance: 40.4 meters, Time: 29.1 seconds
Name: Passage Augier, Instruction: Keep left onto Passage Augier, Distance: 13.3 meters, Time: 9.6 seconds
Name: Rue Sigmund Freud, Instruction: Turn slight right onto Rue Sigmund Freud, Distance: 29.1 meters, Time: 20.9 seconds
Name: Avenue de la Porte Brunet, Instruction: Turn left onto Avenue de la Porte Brunet, Distance: 57.1 meters, Time: 41.1 seconds
Name: Avenue de la Porte Brunet, Instruction: Turn right onto Avenue de la Porte Brunet, Distance: 42.2 meters, Time: 30.4 seconds
Name: Avenue de la Porte Brunet, Instruction: Keep left onto Avenue de la Porte Brunet, Distance: 5.5 meters, Time: 4.0 seconds
Name: Rue des Marchais, Instruction: Turn right onto Rue des Marchais, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 192.0 meters, Time: 138.2 seconds
Name: -, Instruction: Turn right, Distance: 46.3 meters, Time: 33.4 seconds
Name: -, Instruction: Turn left, Distance: 37.5 meters, Time: 27.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
