Name: Rathnelly Avenue, Instruction: Head south on Rathnelly Avenue, Distance: 168.9 meters, Time: 121.6 seconds
Name: MacPherson Avenue, Instruction: Turn left onto MacPherson Avenue, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 483.4 meters, Time: 348.0 seconds
Name: -, Instruction: Keep left, Distance: 180.9 meters, Time: 130.3 seconds
Name: -, Instruction: Keep left, Distance: 78.3 meters, Time: 56.4 seconds
Name: -, Instruction: Keep left, Distance: 532.2 meters, Time: 383.1 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 310.8 meters, Time: 223.7 seconds
Name: -, Instruction: Turn left, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 20.1 meters, Time: 14.5 seconds
Name: -, Instruction: Turn left, Distance: 309.3 meters, Time: 222.7 seconds
Name: -, Instruction: Keep left, Distance: 30.3 meters, Time: 21.8 seconds
Name: -, Instruction: Turn left, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 108.5 meters, Time: 78.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
