Name: Rua Nanci, Instruction: Head east on Rua Nanci, Distance: 100.3 meters, Time: 72.2 seconds
Name: Rua Cabo Antônio Carlos Botelho, Instruction: Turn right onto Rua Cabo Antônio Carlos Botelho, Distance: 380.8 meters, Time: 274.2 seconds
Name: Rua Belchior da Fonseca, Instruction: Turn left onto Rua Belchior da Fonseca, Distance: 22.8 meters, Time: 16.4 seconds
Name: Rua Belchior da Fonseca, Instruction: Continue straight onto Rua Belchior da Fonseca, Distance: 271.6 meters, Time: 195.5 seconds
Name: Estrada do Catruz, Instruction: Keep left onto Estrada do Catruz, Distance: 179.7 meters, Time: 129.4 seconds
Name: Estrada da Matriz, Instruction: Turn sharp right onto Estrada da Matriz, Distance: 243.7 meters, Time: 175.5 seconds
Name: -, Instruction: Turn left, Distance: 28.2 meters, Time: 20.3 seconds
Name: Estrada da Matriz, Instruction: Turn sharp right onto Estrada da Matriz, Distance: 104.4 meters, Time: 75.2 seconds
Name: Rua Compositor Ribamar, Instruction: Keep left onto Rua Compositor Ribamar, Distance: 463.7 meters, Time: 333.9 seconds
Name: Rua Compositor Ribamar, Instruction: Continue straight onto Rua Compositor Ribamar, Distance: 125.7 meters, Time: 90.5 seconds
Name: Rua Compositor Ribamar, Instruction: Continue straight onto Rua Compositor Ribamar, Distance: 139.5 meters, Time: 100.5 seconds
Name: Rua Compositor Ribamar, Instruction: Keep left onto Rua Compositor Ribamar, Distance: 237.1 meters, Time: 170.7 seconds
Name: -, Instruction: Arrive at Rua Compositor Ribamar, on the left, Distance: 0.0 meters, Time: 0.0 seconds
